"No.","Time","Source","Destination","Protocol","Length","Info"
"127027","276.201818","163.152.1.1","192.168.0.16","DNS","505","Standard query response 0xaddf A sgpdclog-1483869871.ap-southeast-1.elb.amazonaws.com A 52.220.136.156 A 13.228.245.106 NS ns-210.awsdns-26.com NS ns-785.awsdns-34.net NS ns-1125.awsdns-12.org NS ns-1973.awsdns-54.co.uk A 205.251.192.210 A 205.251.195.17 A 205.251.196.101 A 205.251.199.181 AAAA 2600:9000:5300:d200::1 AAAA 2600:9000:5303:1100::1 AAAA 2600:9000:5304:6500::1 AAAA 2600:9000:5307:b500::1"
"127114","276.392989","192.168.0.16","13.228.245.106","TCP","1558","[TCP Previous segment not captured] 57221  >  80 [ACK] Seq=3189 Ack=1 Win=131712 Len=1448 TSval=366503917 TSecr=994360830"
"127142","276.490794","13.228.245.106","192.168.0.16","HTTP","119","HTTP/1.1 200 OK  (text/plain)"
"127656","277.744735","192.168.0.1","192.168.0.14","HTTP","114","HTTP/1.0 200 OK  (text/html)"
"127720","277.846518","192.168.0.24","104.70.122.58","TLSv1","359","[TCP ACKed unseen segment] , Application Data"
"127721","277.855105","104.70.122.58","192.168.0.24","SSLv2","1031","Encrypted Data [TCP segment of a reassembled PDU]"
"127723","277.871132","192.168.0.24","104.70.122.58","TLSv1","391","[TCP ACKed unseen segment] , Application Data"
"127746","277.897541","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127771","277.902788","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127784","277.905454","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127815","277.921749","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127821","277.922860","104.70.122.58","192.168.0.24","SSLv2","1562","Encrypted Data [TCP segment of a reassembled PDU]"
"127824","277.923839","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127841","277.927615","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127863","277.933309","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127873","277.935322","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127874","277.935744","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"127877","277.936314","104.70.122.58","192.168.0.24","SSLv2","1558","Encrypted Data [TCP segment of a reassembled PDU]"
"129480","281.753877","192.168.0.1","192.168.0.14","HTTP","114","HTTP/1.0 200 OK  (text/html)"
"130532","284.263684","198.252.206.25","192.168.0.14","TLSv1.2","175","Application Data"
"130879","284.820662","223.39.118.176","192.168.0.23","TLSv1.2","1566","Server Hello"
"130883","284.821320","223.39.118.176","192.168.0.23","TLSv1.2","689","Certificate, Server Key Exchange, Server Hello Done"
"130884","284.838331","223.39.118.176","192.168.0.23","TLSv1.2","356","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"130885","284.840123","192.168.0.23","223.39.118.176","TLSv1.2","702","Application Data[Packet size limited during capture]"
"130929","284.865053","223.39.118.176","192.168.0.23","TLSv1.2","353","Application Data"
"131066","285.192428","192.168.0.24","223.39.123.194","TLSv1","203","Application Data"
"131067","285.196132","223.39.123.194","192.168.0.24","TLSv1","176","Application Data, Application Data"
"131278","285.911452","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0016 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"131279","285.911781","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0016 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"131280","285.912133","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0016 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"131281","285.912468","192.168.0.23","224.0.0.251","MDNS","167","Standard query 0x0016 PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"131284","285.914966","223.39.123.191","192.168.0.24","TLSv1","1558","Server Hello"
"131291","285.920100","223.39.123.191","192.168.0.24","TLSv1","849","Certificate, Server Key Exchange, Server Hello Done"
"131412","286.060282","192.168.0.1","192.168.0.14","HTTP","114","HTTP/1.0 200 OK  (text/html)"
"131440","286.135698","192.168.0.24","223.39.123.191","TLSv1","236","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"131459","286.145370","223.39.123.191","192.168.0.24","TLSv1","384","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"131529","286.372287","192.168.0.24","223.39.123.191","TLSv1","427","Application Data"
"131535","286.373925","192.168.0.24","223.39.123.191","TLSv1","1562","Application Data [TCP segment of a reassembled PDU]"
"131550","286.384051","192.168.0.24","223.39.123.191","TLSv1","1562","Application Data [TCP segment of a reassembled PDU]"
